U.S. state,total square miles,total square km
Alaska,665384,1723337
Texas,268596,695662
California,163695,423967
Montana,147040,380831
New Mexico,121590,314917
Arizona,113990,295234
Nevada,110572,286380
Colorado,104094,269601
Oregon,98379,254799
Wyoming,97813,253335
Michigan,96714,250487
Minnesota,86936,225163
Utah,84897,219882
Idaho,83569,216443
Kansas,82278,213100
Nebraska,77348,200330
South Dakota,77116,199729
Washington,71298,184661
North Dakota,70698,183108
Oklahoma,69899,181037
Missouri,69707,180540
Florida,65758,170312
Wisconsin,65496,169635
Georgia,59425,153910
Illinois,57914,149995
Iowa,56273,145746
New York,54555,141297
North Carolina,53819,139391
Arkansas,53179,137732
Alabama,52420,135767
Louisiana,52378,135659
Mississippi,48432,125438
Pennsylvania,46054,119280
Ohio,44826,116098
Virginia,42775,110787
Tennessee,42144,109153
Kentucky,40408,104656
Indiana,36420,94326
Maine,35380,91633
South Carolina,32020,82933
West Virginia,24230,62756
Maryland,12406,32131
Hawaii,10932,28313
Massachusetts,10554,27336
Vermont,9616,24906
New Hampshire,9349,24214
New Jersey,8723,22591
Connecticut,5543,14357
Delaware,2489,6446
Rhode Island,1545,4001